MSFT US Equity,,,ENVA US Equity,,,CL US Equity,
Date,Closing Price,,Date,Closing Price,,Date,Closing Price
8/5/2015,47.58,,8/24/2016,9.21,,8/5/2015,69.08
8/6/2015,46.62,,8/25/2016,9.37,,8/6/2015,68.65
8/7/2015,46.74,,8/26/2016,9.23,,8/7/2015,68.49
8/10/2015,47.33,,8/29/2016,9.64,,8/10/2015,68.74
8/11/2015,46.41,,8/30/2016,9.6,,8/11/2015,68.26
8/12/2015,46.74,,8/31/2016,9.59,,8/12/2015,68
8/13/2015,46.73,,9/1/2016,10.16,,8/13/2015,67.66
8/14/2015,47,,9/2/2016,10.33,,8/14/2015,67.79
8/17/2015,47.32,,9/6/2016,9.66,,8/17/2015,67.66
8/18/2015,47.27,,9/7/2016,9.53,,8/18/2015,67.69
8/19/2015,46.61,,9/8/2016,9.39,,8/19/2015,66.74
8/20/2015,45.66,,9/9/2016,8.96,,8/20/2015,65.99
8/21/2015,43.07,,9/12/2016,9.06,,8/21/2015,64.98
8/24/2015,41.68,,9/13/2016,9.17,,8/24/2015,61.95
8/25/2015,40.47,,9/14/2016,9.09,,8/25/2015,60.37
8/26/2015,42.71,,9/15/2016,9.28,,8/26/2015,62.23
8/27/2015,43.9,,9/16/2016,9.1,,8/27/2015,63.09
8/28/2015,43.93,,9/19/2016,9.59,,8/28/2015,63.35
8/31/2015,43.52,,9/20/2016,9.53,,8/31/2015,62.81
9/1/2015,41.82,,9/21/2016,9.53,,9/1/2015,61.27
9/2/2015,43.36,,9/22/2016,9.72,,9/2/2015,62.18
9/3/2015,43.5,,9/23/2016,9.59,,9/3/2015,62.92
9/4/2015,42.61,,9/26/2016,9.43,,9/4/2015,61.46
9/8/2015,43.89,,9/27/2016,9.58,,9/8/2015,63.43
9/9/2015,43.07,,9/28/2016,9.79,,9/9/2015,62.39
9/10/2015,43.29,,9/29/2016,9.59,,9/10/2015,61.93
9/11/2015,43.48,,9/30/2016,9.68,,9/11/2015,61.92
9/14/2015,43.04,,10/3/2016,9.59,,9/14/2015,62.11
9/15/2015,43.98,,10/4/2016,9.49,,9/15/2015,62.43
9/16/2015,44.3,,10/5/2016,9.58,,9/16/2015,63.07
9/17/2015,44.25,,10/6/2016,9.4,,9/17/2015,63.27
9/18/2015,43.48,,10/7/2016,9.33,,9/18/2015,62.69
9/21/2015,44.11,,10/10/2016,9.4,,9/21/2015,63.1
9/22/2015,43.9,,10/11/2016,9.35,,9/22/2015,62.16
9/23/2015,43.87,,10/12/2016,9.25,,9/23/2015,62.1
9/24/2015,43.91,,10/13/2016,9.05,,9/24/2015,62.25
9/25/2015,43.94,,10/14/2016,8.85,,9/25/2015,63.14
9/28/2015,43.29,,10/17/2016,8.95,,9/28/2015,62.16
9/29/2015,43.44,,10/18/2016,8.85,,9/29/2015,63.07
9/30/2015,44.26,,10/19/2016,9.2,,9/30/2015,63.46
10/1/2015,44.61,,10/20/2016,9.35,,10/1/2015,63.72
10/2/2015,45.57,,10/21/2016,9.15,,10/2/2015,64.28
10/5/2015,46.63,,10/24/2016,9.2,,10/5/2015,65.35
10/6/2015,46.75,,10/25/2016,9.15,,10/6/2015,64.79
10/7/2015,46.8,,10/26/2016,8.9,,10/7/2015,65.35
10/8/2015,47.45,,10/27/2016,9.1,,10/8/2015,65.9
10/9/2015,47.11,,10/28/2016,9.45,,10/9/2015,66.34
10/12/2015,47,,10/31/2016,9.4,,10/12/2015,66.25
10/13/2015,46.89,,11/1/2016,9.2,,10/13/2015,65.97
10/14/2015,46.68,,11/2/2016,8.85,,10/14/2015,65.75
10/15/2015,47.01,,11/3/2016,8.85,,10/15/2015,66.57
10/16/2015,47.51,,11/4/2016,8.8,,10/16/2015,67.12
10/19/2015,47.62,,11/7/2016,8.9,,10/19/2015,67.25
10/20/2015,47.77,,11/8/2016,8.8,,10/20/2015,67.06
10/21/2015,47.2,,11/9/2016,9.2,,10/21/2015,66.83
10/22/2015,48.03,,11/10/2016,9.65,,10/22/2015,68.64
10/23/2015,52.87,,11/11/2016,9.95,,10/23/2015,68.94
10/26/2015,54.25,,,,,10/26/2015,68.72
10/27/2015,53.69,,,,,10/27/2015,68.95
10/28/2015,53.98,,,,,10/28/2015,68.83
10/29/2015,53.36,,,,,10/29/2015,69.23
10/30/2015,52.64,,,,,10/30/2015,66.35
11/2/2015,53.24,,,,,11/2/2015,67.49
11/3/2015,54.15,,,,,11/3/2015,68
11/4/2015,54.4,,,,,11/4/2015,67.48
11/5/2015,54.38,,,,,11/5/2015,67.6
11/6/2015,54.92,,,,,11/6/2015,65.82
11/9/2015,54.16,,,,,11/9/2015,65.77
11/10/2015,53.51,,,,,11/10/2015,66.38
11/11/2015,53.65,,,,,11/11/2015,66.45
11/12/2015,53.32,,,,,11/12/2015,65.27
11/13/2015,52.84,,,,,11/13/2015,64.56
11/16/2015,53.765,,,,,11/16/2015,65.57
11/17/2015,52.97,,,,,11/17/2015,65.32
11/18/2015,53.85,,,,,11/18/2015,66.06
11/19/2015,53.94,,,,,11/19/2015,66.38
11/20/2015,54.19,,,,,11/20/2015,66.1
11/23/2015,54.19,,,,,11/23/2015,66.89
11/24/2015,54.25,,,,,11/24/2015,66.82
11/25/2015,53.69,,,,,11/25/2015,66.43
11/27/2015,53.93,,,,,11/27/2015,66.56
11/30/2015,54.35,,,,,11/30/2015,65.68
12/1/2015,55.22,,,,,12/1/2015,65.83
12/2/2015,55.21,,,,,12/2/2015,65.68
12/3/2015,54.2,,,,,12/3/2015,65.58
12/4/2015,55.91,,,,,12/4/2015,66.34
12/7/2015,55.81,,,,,12/7/2015,66.34
12/8/2015,55.79,,,,,12/8/2015,66.18
12/9/2015,54.98,,,,,12/9/2015,66.08
12/10/2015,55.27,,,,,12/10/2015,66.13
12/11/2015,54.06,,,,,12/11/2015,65.21
12/14/2015,55.14,,,,,12/14/2015,65.85
12/15/2015,55.2,,,,,12/15/2015,66.76
12/16/2015,56.13,,,,,12/16/2015,68.33
12/17/2015,55.7,,,,,12/17/2015,67.33
12/18/2015,54.13,,,,,12/18/2015,65.57
12/21/2015,54.83,,,,,12/21/2015,65.98
12/22/2015,55.35,,,,,12/22/2015,66.58
12/23/2015,55.82,,,,,12/23/2015,67.16
12/24/2015,55.67,,,,,12/24/2015,66.99
12/28/2015,55.95,,,,,12/28/2015,66.89
12/29/2015,56.55,,,,,12/29/2015,67.65
12/30/2015,56.31,,,,,12/30/2015,67.53
12/31/2015,55.48,,,,,12/31/2015,66.62
1/4/2016,54.8,,,,,1/4/2016,64.71
1/5/2016,55.05,,,,,1/5/2016,65
1/6/2016,54.05,,,,,1/6/2016,64.14
